capability_id,user_purpose,target_users,entry_routes,source_files,canonical_types,providers_stores,persistence_layer,server_runtime_dependency,environment_requirements,authorization_boundary,tests,screenshots,accessibility_state,localization_state,security_risks,legal_privacy_risks,integration_status,duplicated_alternatives,recommended_disposition,migration_impact,confidence_level,unresolved_questions
CAP-001,Spatial World Intelligence interactive globe home,all users,/; PlatformHome,components/spatial-world/*; lib/spatial-world/*; lib/world-map.ts,country geo features,none (page-mounted),static Natural Earth + in-memory selection,static export only,none,public,scripts/test-spatial-world-intelligence.ts,docs/verification/spatial-world-screenshots/,PARTIAL keyboard/globe,lib/i18n/platform-copy-spatial-world.ts,low (client viz),none special,PROVEN_AND_INTEGRATED,none,KEEP,none,high,WebGL a11y alternatives sufficiency
CAP-002,Voice Operator Realtime dock + broker,signed-in and guest,layout-global dock,components/voice-operator/*; lib/voice-operator/*; functions/api/voice/session.ts,VoiceSession; PlatformAction,VoiceOperatorProvider,sessionStorage cbai-voice-operator-session; localStorage onboarding/pending intent,Cloudflare Pages Function + OpenAI Realtime,OPENAI_API_KEY; VOICE_ALLOWED_ORIGINS; NEXT_PUBLIC_VOICE_BROKER_URL,origin allowlist only on broker; guest action policy,scripts/test-voice-*.ts; test-auth-collaboration-voice-os.ts,docs/verification/voice-*; auth-collaboration-voice-os/,text+keyboard equivalents PARTIAL,EN/UZ/RU/TR identity+operator copy,UNSAFE: broker mint without user auth/rate limit; mic lifecycle,voice transcript privacy,PARTIAL,lib/intelligence agents ORPHANED alternative,KEEP+REFACTOR broker auth,none data,medium,live Realtime E2E EXTERNAL_BLOCKED without valid key
CAP-003,Voice Command Orchestrator / Operating Navigator,all users with voice,via VoiceOperator,lib/voice-operator/commands/*; lib/platform-actions/*; lib/voice-operator/identity/*,PlatformAction; ActionLevel 0-3,VoiceOperatorProvider,pending auth intent localStorage,client + optional Realtime tools,same as CAP-002,auth-action-policy guest gates; Level 3 confirmation,test-voice-command-orchestrator; test-voice-operating-navigator; test-voice-platform-operator,docs/verification/voice-command-orchestrator/; voice-operating-navigator/,confirm gates; text prepare flows,platform-copy + dictionaries,prompt injection / ambiguous publication,must not auto-publish,PROVEN_AND_INTEGRATED,legacy voice/ vs voice-operator,KEEP,none,high,pathname mic teardown policy oscillated; current=survive nav
CAP-004,Operational Object System,researchers,/my-work; layout provider,lib/operational-objects/*; components/operational-objects/*,OperationalObject,OperationalObjectProvider,localStorage cbai-operational-objects,none,none,device-local or cloud sign-in soft,scripts/test-operational-objects.ts,docs/verification/operational-object-system/,PARTIAL,i18n present PARTIAL,XSS if rich text later,user content ownership,PROVEN_AND_INTEGRATED,ontology objects parallel,KEEP; MERGE with ontology carefully,preserve unknown fields,high,relationship to Project/Mission clarity
CAP-005,Projects + tasks + notes,researchers,/my-work,lib/project/*; components/project/*,Project; ProjectTask,MyWork + mission context,cbai-projects; cbai-project-*,optional Supabase sync paths,NEXT_PUBLIC_SUPABASE_*,auth soft,test-project-engine,docs/verification/final-intelligence-os/* my-work,PARTIAL,localized shell,localStorage spoof,private by default assumed,PROVEN_AND_INTEGRATED,genesis execution tasks DUPLICATE family,KEEP; MERGE genesis later,idempotent migrate,high,cloud sync completeness UNVERIFIED
CAP-006,Missions / Intelligence OS living memory,operators,shell-wide; /my-work,lib/intelligence-os/*; components/intelligence-os/*; components/mission/*,Mission,MissionOperatingContext,cbai-missions; cbai-current-mission-id; living-memory keys,none required,none,client,test-mission-*; test-universal-intelligence-os,final-intelligence-os screenshots,PARTIAL,PARTIAL,memory retention privacy,living memory consent,PROVEN_AND_INTEGRATED,research-mission naming overlap,KEEP,preserve keys,high,mission vs project ownership
CAP-007,Countries / Companies / Universities intelligence,public+researchers,/countries; /companies; /universities + detail,lib/countries*.ts; lib/companies*.ts; lib/universities*.ts; components/*,Country; Company; University,entity panels,static/catalog + coverage builders,static export,none,public journey,test-*-intelligence; launch-gate,docs/verification/final-intelligence-os/,PARTIAL,dictionaries + entity copy,data accuracy not legal advice,source citation,PROVEN_AND_INTEGRATED,lib/intelligence collectors tip only,KEEP,none,high,data freshness EXTERNAL
CAP-008,Research topics workspace canvas,researchers,/research; /research/[topicId]; /research/workspace; /research/canvas,lib/research*; lib/research-canvas/*; components/research/*,ResearchTopic; SavedEvidence,ResearchPageClient,cbai-research-*; canvas stores,none,none,public+personal,test-research-*; test-research-canvas,final-intelligence-os research screenshots,PARTIAL,PARTIAL,upload malware if files,copyright of uploads,PROVEN_AND_INTEGRATED,research evidence vs platform evidence DUPLICATE,KEEP; MERGE evidence models Stage1,preserve research keys,high,evidence ontology unify
CAP-009,Evidence explorer / knowledge brain,analysts,/knowledge (nav label Evidence),lib/evidence-explorer.ts; components/evidence/*; components/knowledge/*; lib/evidence-infrastructure; lib/evidence-runtime; lib/evidence-gap; lib/evidence-comparison,EvidenceCoverage; Gap; Comparison,EvidenceExplorer,cbai-saved-knowledge-sources; reviews; gap/comparison version keys,none,none,public,test-knowledge-brain; test-epic-06-evidence-trust,final-intelligence-os evidence/knowledge,PARTIAL,PARTIAL,no forensic chain,misuse as legal proof,PROVEN_AND_INTEGRATED,lib/evidence; pipeline; intelligence/evidence; research/evidence,KEEP explorer; MERGE stacks; QUARANTINE intelligence/evidence,map types carefully,medium,forensic workspace not implemented
CAP-010,Knowledge Graph + living relationships,analysts,/graph; /organization,lib/graph/*; components/graph/*; lib/living-graph; lib/living-object-network,GraphNode; LivingRelationship,GraphPageClient,cbai-living-relationships,optional supabase migrations for graph,SUPABASE optional,client + RLS if cloud,genesis graph tests; platform-shell,final-intelligence-os graph,PARTIAL,PARTIAL,IDOR if cloud misconfigured,none,PROVEN_AND_INTEGRATED,lib/intelligence/graph ORPHANED,KEEP; QUARANTINE intelligence/graph,preserve relationships,high,GraphPersonas orphan components
CAP-011,Reasoning explorer,analysts,/reasoning,lib/reasoning*; components/reasoning/*,ReasoningMap,ReasoningExplorer,none durable primary,none,none,public advanced,product tests indirect,final-intelligence-os trust/reasoning screenshots,PARTIAL,PARTIAL,must not present as proof,epistemic honesty,PROVEN_AND_INTEGRATED,decision-intelligence overlap PARTIAL,KEEP,none,medium,overlap with claims model
CAP-012,Investor workspace,investors (non-advisory),/investor,lib/workspaces/*; components/workspaces/Investor*,InvestorWorkspace model,InvestorWorkspace,none durable,none,none,public,launch-gate; ontology FDE,final-intelligence-os investor,PARTIAL,PARTIAL,not investment advice,disclaimer required,PROVEN_AND_INTEGRATED,none,KEEP,none,high,advisory boundary copy completeness
CAP-013,Government workspace,public-admin researchers,/government,components/workspaces/Government*; lib/workspaces/government.ts,GovernmentWorkspace,GovernmentPageClient,none,none,none,public,launch-gate,final-intelligence-os,PARTIAL,PARTIAL,not official gov system,jurisdiction,PROVEN_AND_INTEGRATED,not same as Governance,KEEP,none,high,naming confusion with governance
CAP-014,Governance control center,platform stewards,/governance; /ai-control alias,lib/governance*; components/governance-control/*,GovernanceReport,GovernancePageClient,none primary,none,none,public but preview-labeled,test-epic-governance,final-intelligence-os governance,PARTIAL,PARTIAL,UI not enforcement,policy vs product,PARTIAL,preview notice in UI,KEEP+REFACTOR to enforce later,none,medium,still previewPages.inDevelopment
CAP-015,Trust constitution reference,all,/trust,components/trust/*; lib/trust/*; docs/CBAI-Constitution-v1.md,TrustSection,TrustPageClient,none,none,none,public,platform-shell,final-intelligence-os trust,PARTIAL,localized,reference only,terms/privacy text legal review,PROVEN_AND_INTEGRATED,constitution docs vs runtime,KEEP,none,high,legal counsel REVIEW for production terms
CAP-016,Localization EN/UZ/RU/TR + provenance,all,global,lib/i18n/*; docs/architecture/locale-provenance-policy.md,Locale; provenance fields,Auth/assistant language,profile localStorage,none,none,n/a,test-locale-completeness; localization-closure; rendered-uz-leakage,verification screenshots multi-locale,a11y lang,PROVEN core / PARTIAL surface,mistranslation of official quotes,silent translation prohibited by policy,PROVEN_AND_INTEGRATED,legacy migrations,KEEP,idempotent locale migrations,high,full UI coverage UNVERIFIED
CAP-017,Auth device-local + Supabase cloud,account holders,/account; /reset-password,lib/auth/*; lib/supabase/*; AuthProvider,AuthUser; Session,AuthProvider,cbai-auth-users; cbai-auth-session; Supabase Auth,Supabase when configured,NEXT_PUBLIC_SUPABASE_URL; NEXT_PUBLIC_SUPABASE_ANON_KEY,dual mode,test-auth-platform; test-rls; org multi-user,auth-collaboration screenshots,forms labeled PARTIAL,i18n account copy,UNSAFE device-local as prod identity; password hashes in localStorage,privacy of PII,PARTIAL,none,KEEP dual with clear trust tiers; REFACTOR prod gates,outbox sync,medium,cloud required for team? policy open
CAP-018,Organization OS,team operators,/organization,lib/organization-os/*; components/organization/*,Organization; Membership; Invitation,OrganizationPageClient,cbai-organizations; memberships; invitations; audit,Supabase migrations 0005-0007 optional,SUPABASE,client stores; RLS if cloud,test-epic-05-organization-os; organization-multi-user,docs/verification partial,PARTIAL,PARTIAL,invitation abuse,membership PII,PROVEN_AND_INTEGRATED,lib/collaboration ORPHANED from UI,KEEP org-OS; MERGE or QUARANTINE collaboration store,map collab keys,medium,UI uses org-OS not collaboration lib
CAP-019,Collaboration store (missions share),intended teams,none dedicated UI,lib/collaboration/*,MissionCollaboration,none in components,cbai-mission-collaborations; share policies; audit,scripts only,SUPABASE optional,store-level only,test-collaboration-multi-user,none UI,n/a,n/a,orphan store drift,data confusion,ORPHANED,duplicates org-OS concepts,QUARANTINE,do not delete data keys,medium,consumers?
CAP-020,Reports center,researchers,/reports,lib/reports*; components/reports/*,SavedReport,ReportsCenter,cbai-saved-reports,none,none,client,product tests,final-intelligence-os reports,PARTIAL,PARTIAL,overclaim readiness,copyright of report text,PROVEN_AND_INTEGRATED,analytics route overlap,KEEP,none,high,/analytics status
CAP-021,Search gateway,all,/search,lib/search-*; components/search/*,SearchResult,SearchGatewayClient,none,none,none,public,acceptance-audit-search docs,final-intelligence-os search,PARTIAL,PARTIAL,low,none,PROVEN_AND_INTEGRATED,global-search.ts overlap,KEEP; MERGE search modules,none,high,none
CAP-022,Forward-deployed engines workspace,operators,layout EngineWorkspaceProvider; strips on many routes,lib/forward-deployed-engines/*; components/forward-deployed/*; docs/architecture/forward-deployed-engines.md,EngineRun; Plan,EngineWorkspaceProvider,cbai-engine-runs,none,none,confirmation panels,test-ontology-forward-deployed-engines,docs/verification/ontology-forward-deployed-engines/,PARTIAL,PARTIAL,engine must not auto-execute Level3,no legal judgment,PROVEN_AND_INTEGRATED,lib/intelligence orchestrator ORPHANED,KEEP FDE; QUARANTINE intelligence orchestrator,none,high,security boundaries doc exists
CAP-023,Ontology objects,platform,indirect via FDE/OO,lib/ontology/*,OntologyObject,stores,cbai-ontology-objects; relationships; audit,none,none,client,ontology FDE tests,architecture docs,n/a,docs,schema drift,none,PARTIAL,overlaps OperationalObject,MERGE with OO carefully,idempotent,medium,canonical ID strategy
CAP-024,Personal workspace shells (files/messages/notifications/workspace),account holders,/workspace; /files; /messages; /notifications; /teams; /publications; /scientific-documents,components/workspace/*; components/teams/*; components/publications/*; components/scientific-intake/*; lib/scientific-intake/*,TeamDraft; PublicationState; IntakeRecord,page clients,cbai-team-drafts; cbai-scientific-intake-records; in-memory pubs,none upload backend,none,sign-in gates PARTIAL (device-local accepted),scripts/test-auth-collaboration-voice-os.ts,docs/verification/auth-collaboration-voice-os/,empty shells basic a11y,lib/i18n/platform-copy-auth-collab.ts,PLACEHOLDER files/messages/notifications; no upload backend; malware risk if uploads added without controls,publication rights incomplete; copyright model missing,PARTIAL,naming collision with components/workspaces,REFACTOR Stages 3-6; KEEP routes,preserve cbai-scientific-intake-records and team drafts,medium,real object storage EXTERNAL_BLOCKED
CAP-025,Agents catalog page,curious users,/agents (noindex),lib/agents.ts; components/agents/*,AgentCatalogEntry,AgentsPageClient,none,runtime_not_connected,none,public stub,none,none,PARTIAL,PARTIAL,misleading agency,none,PARTIAL,lib/intelligence/agents ORPHANED,QUARANTINE page or honest stub KEEP,none,high,should agents stay hidden
CAP-026,lib/intelligence engine (~200 files),none in UI,none,lib/intelligence/**,internal engine types,none app/components,none,none,none,n/a,entity *.intelligence.ts tip only,docs build reports claim more,n/a,n/a,dead code attack surface,stale claims in docs,ORPHANED,duplicates FDE+voice orchestration,QUARANTINE,no user data in tree assumed,high,any hidden import? verify periodically
CAP-027,Genesis personal cabinet stores,genesis users,/my-work panels; genesis components,lib/genesis/*; components/genesis/*,Genesis* records,PersonalCabinetPanel,many cbai-genesis-* keys,none,none,client,test-genesis-*,docs genesis,PARTIAL,PARTIAL,large local PII surface,retention,PARTIAL,overlaps project/mission/OO,MERGE selectively; ARCHIVE unused,preserve keys,medium,which genesis surfaces still mounted
CAP-028,Citizen workspace,public,/citizen,components/workspaces citizen,Citizen lens,page client,none,none,none,public,indirect,screenshots may exist,PARTIAL,PARTIAL,low,none,PROVEN_AND_INTEGRATED,secondary nav,KEEP,none,medium,value vs Home
CAP-029,Workflows / Analytics / Dashboard / Core legacy routes,mixed,/workflows; /analytics; /dashboard; /core,app pages + components,varied,page clients,varied,none,none,public,varied,varied,PARTIAL,PARTIAL,stale UX,none,PARTIAL,overlaps Home/My Work/Reports,AUDIT each route; ARCHIVE or KEEP,none,low,reachability of each
CAP-030,Supabase persistence + RLS,cloud tenants,via cloud mode,lib/supabase/*; supabase/migrations/*,SQL schema,cloud-auth; outbox,Postgres+RLS,Supabase,NEXT_PUBLIC_SUPABASE_*,RLS policies in migrations,test-rls; shared-persistence; cloud-platform,docs,n/a,n/a,misconfig IDOR,data residency,PARTIAL,localStorage dual-write,KEEP; REFACTOR as system of record,idempotent migrations exist,medium,production project EXTERNAL
CAP-031,Feedback/incident system,all,none dedicated,UNVERIFIED dedicated module,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,DOCUMENTATION_ONLY / missing,n/a,IMPLEMENT Stage8 (not now),n/a,high,no canonical feedback object found in census
CAP-032,Forensic evidence workspace,authorized examiners,none,docs only in this census design,n/a,n/a,n/a,n/a,n/a,must be high-assurance,n/a,n/a,n/a,n/a,critical if faked,legal,DOCUMENTATION_ONLY,must not reuse research evidence casually,DESIGN only; no implement,n/a,high,counsel required
